1911	Xinhai Revolution in China overthrows the Qing Dynasty. Roald Amundsen first reaches the South Pole. Triangle Shirtwaist Factory fire results in the deaths of 146 workers and leads to sweeping workplace safety reforms. New Delhi becomes the capital of British India. Ernest Rutherford identifies the atomic nucleus. The Italo-Turkish war leads to the capture of Libya by Italy. Eugene B. Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship. Agadir Crisis.
1912	End of the Chinese Empire; Republic of China established. The African National Congress is founded. Morocco becomes a protectorate of France. Sinking of the RMS Titanic. First Balkan War begin. Woodrow Wilson is elected 28th President of the United States. Arizona becomes the last state to be admitted to the continental Union. United States occupation of Nicaragua begins. The Kuomintang, the Chinese nationalist party, is founded.
1913	Niels Bohr formulates the first cohesive model of the atomic nucleus, and in the process paves the way to quantum mechanics. In the 1913 Ottoman coup d'état, Ismail Enver comes to power.Ford Motor Company introduces the first moving assembly line. La Decena Trágica. Yuan Shikai uses military force to dissolve China's parliament and rules as a dictator. Igor Stravinsky's The Rite of Spring infamously premiers in Paris. Treaty of London. Second Balkan War and Treaty of Bucharest. The Federal Reserve System is created.
1914	Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I. The United Kingdom establishes the Sultanate of Egypt as a protectorate. Panama Canal opens. Benedict XV becomes Pope. Martha, last known passenger pigeon, dies.
1915	The RMS Lusitania is sunk. The United States occupation of Haiti begins. Armenian genocide in the Ottoman Empire. D. W. Griffith's The Birth of a Nation is released. First use of poison gas at the Battle of Neuve Chapelle and Second Battle of Ypres.
1916	Easter Rising in Ireland. The implementation of daylight saving time. Warlord Era begins in China. David Lloyd George becomes the Prime Minister of the United Kingdom. The Gallipoli Campaign fails. First use of tanks at the Battle of Flers-Courcelette. Battle of the Somme. Grigory Rasputin is assassinated by H.H. Prince Felix Youssoupov. The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow. Battle of Verdun. The Arab Revolt begins
1917	Russian Revolution ends the Russian Empire; beginning of Russian Civil War. USA join the Allies for the last 17 months of World War I. Independence of Poland recognised. The first Pulitzer Prizes are awarded. October Revolution in Russia. Ukrainian–Soviet War begins.
1918	End of World War I. German Revolution begins. Abdication of Kaiser Wilhelm II. Spanish flu pandemic. Murder of Tsar Nicholas II and his family. Poland, Ukraine and Belarus are among a number of states to declare independence from Russia. Finnish Civil War. Mehmed VI becomes last Sultan of the Ottoman Empire and last Caliph. Partitioning of the Ottoman Empire begins. The Kingdom of Iceland and The State of Slovenes, Croats and Serbs are established. The British occupy Palestine. Mutawakkilite Kingdom of Yemen is founded. Azerbaijan Democratic Republic is declared. Armenian–Azerbaijani War begins. Polish–Ukrainian War begins.
1919	Treaty of Versailles redraws European borders. German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic. Victory for Estonia in the Estonian War of Independence. League of Nations founded in Paris. Polish-Soviet War begins. The Italian National Fascist Party is established by Benito Mussolini. Comintern established. Egyptian Revolution of 1919. Turkish War of Independence begins. End of Polish–Ukrainian War. The International Labor Organisation is established. Ernest Rutherford discovers the proton. First experimental evidence for the General theory of relativity obtained by Arthur Eddington.
1920	Mexican Revolution ends. Greece restores its monarchy after a referendum. Turkish–Armenian War is fought, and ends with victory for Turkey. Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union. Mohandas Gandhi launches Non-cooperation movement. Prohibition in the United States enforced.
1921	Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins. Russia invades Georgia and incorporates it into the Soviet Union. End of Russian Civil War, Polish-Soviet War and Ukrainian–Soviet War. Coup brings the Pahlavi dynasty to power in Iran.
1922	Ottoman Sultanate abolished by the Turkish Grand National Assembly; Sultan Mehmed VI is deposed. Irish Free State is established, while the Province of Northern Ireland is created within The United Kingdom. The Irish Civil War begins. The Italian reconquest of Libya begins. The union of Costa Rica, Guatemala, Honduras and El Salvador is dissolved. Egypt gains independence from the United Kingdom, though British forces still occupy the Suez Canal. March on Rome brings Benito Mussolini to power in Italy. Howard Carter discovers Tutankhamen's tomb. Gabriel Narutowicz, President of Poland is assassinated. The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed. Pius XI becomes Pope. James Joyce publishes Ulysses. The Washington Naval Treaty is signed. Mohandas Gandhi calls off Non-cooperation movement.
1923	Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark. Time Magazine is first published. Irish Civil War ends. The Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention. A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski. The Great Kantō earthquake kills at least 105,000 people in Japan. Turkish War of Independence ends; Kemal Atatürk becomes the first President of the newly established Republic of Turkey; Ankara replaces Istanbul as its capital. The Walt Disney Company is founded.
1924	Death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin. The Caliphate is abolished by Kamal Atatürk. The U.S. Federal Bureau of Investigation founded under J. Edgar Hoover. The August Uprising in Georgia against Soviet rule. George Gershwin composes Rhapsody In Blue. U.S. Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe.
1925	Benito Mussolini gains dictatorial powers in Italy. Mein Kampf is published. First televisual image created by John Logie Baird. Locarno Treaties are signed. Serum run to Nome.
1926	Hirohito becomes Emperor of Japan. Coups in Greece, Poland and Portugal install new dictatorships.
1927	The Jazz Singer, the first "talkie", is released. Joseph Stalin becomes leader of the Soviet Union. Chinese Civil War begins. Bath School disaster. Australian Parliament convenes in Canberra for the first time. The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland. Saudi Arabia gains independence. The BBC is granted a Royal Charter in the United Kingdom. World population reaches 2 billion. Charles Lindbergh's flight to Paris.
1928	Discovery of penicillin by Alexander Fleming. Warlord Era ends in China. Malta becomes a British Dominion. Bubble gum is invented. King Zog I is crowned in Albania. The Kellogg-Briand Pact is signed in Paris. The International Red Cross and Red Crescent Movement is established. Mickey Mouse is created at the Walt Disney Studio. Hassan al-Banna founds the Muslim Brotherhood.
1929	Wall Street crash of 1929 and the beginning of the Great Depression. Leon Trotsky is exiled First people sent to the gulag in the Soviet Union as Stalin assumes effective control. Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini. Vatican City is recognised as a sovereign state. Saint Valentine's Day Massacre. The first Academy Awards are presented.
